Main_Title,Assessment Year,2021,2020,2019
1800 White Indigo Trl,Assessed Value - Total,263696,239724,226586
1800 White Indigo Trl,Assessed Value - Land,,56132,51300
1800 White Indigo Trl,Assessed Value - Improved,,183592,175286
1800 White Indigo Trl,YOY Change ($),23972,13138,
1800 White Indigo Trl,YOY Change (%),10%,6%,
1800 White Indigo Trl,Tax Year,2021,2020,2019
1800 White Indigo Trl,Total Tax,5974.61,5431.47,5162.58
1800 White Indigo Trl,YOY Change ($),543,269,
1800 White Indigo Trl,YOY Change (%),10%,5%,
212 Big Cypress Byu,Assessed Value - Total,35000,,
212 Big Cypress Byu,Assessed Value - Land,35000,,
212 Big Cypress Byu,Assessed Value - Improved,,,
212 Big Cypress Byu,YOY Change ($),,,
212 Big Cypress Byu,YOY Change (%),%,%,
212 Big Cypress Byu,Tax Year,2021,,
212 Big Cypress Byu,Total Tax,942.78,,
212 Big Cypress Byu,YOY Change ($),,,
212 Big Cypress Byu,YOY Change (%),%,%,
202 BIG CYPRESS Byu,Assessed Value - Total,35000,,
202 BIG CYPRESS Byu,Assessed Value - Land,35000,,
202 BIG CYPRESS Byu,Assessed Value - Improved,,,
202 BIG CYPRESS Byu,YOY Change ($),,,
202 BIG CYPRESS Byu,YOY Change (%),%,%,
202 BIG CYPRESS Byu,Tax Year,2021,,
202 BIG CYPRESS Byu,Total Tax,942.78,,
202 BIG CYPRESS Byu,YOY Change ($),,,
202 BIG CYPRESS Byu,YOY Change (%),%,%,
115 Big Cypress Byu,Assessed Value - Total,35000,,
115 Big Cypress Byu,Assessed Value - Land,35000,,
115 Big Cypress Byu,Assessed Value - Improved,,,
115 Big Cypress Byu,YOY Change ($),,,
115 Big Cypress Byu,YOY Change (%),%,%,
115 Big Cypress Byu,Tax Year,2021,,
115 Big Cypress Byu,Total Tax,942.78,,
115 Big Cypress Byu,YOY Change ($),,,
115 Big Cypress Byu,YOY Change (%),%,%,
118 Big Cypress Byu,Assessed Value - Total,35000,,
118 Big Cypress Byu,Assessed Value - Land,35000,,
118 Big Cypress Byu,Assessed Value - Improved,,,
118 Big Cypress Byu,YOY Change ($),,,
118 Big Cypress Byu,YOY Change (%),%,%,
118 Big Cypress Byu,Tax Year,2021,,
118 Big Cypress Byu,Total Tax,942.78,,
118 Big Cypress Byu,YOY Change ($),,,
118 Big Cypress Byu,YOY Change (%),%,%,
223 Monument Hill Trl,Assessed Value - Total,245869,223517,239557
223 Monument Hill Trl,Assessed Value - Land,,60007,57780
223 Monument Hill Trl,Assessed Value - Improved,,163510,181777
223 Monument Hill Trl,YOY Change ($),22352,-16040,
223 Monument Hill Trl,YOY Change (%),10%,-7%,
223 Monument Hill Trl,Tax Year,2021,2020,2019
223 Monument Hill Trl,Total Tax,5369.33,4881.21,5312.70
223 Monument Hill Trl,YOY Change ($),488,-431,
223 Monument Hill Trl,YOY Change (%),10%,-8%,
500 Hendelson Ln,Assessed Value - Total,266966,225461,225267
500 Hendelson Ln,Assessed Value - Land,61000,57042,56987
500 Hendelson Ln,Assessed Value - Improved,205966,168419,168280
500 Hendelson Ln,YOY Change ($),41505,194,
500 Hendelson Ln,YOY Change (%),18%,0%,
500 Hendelson Ln,Tax Year,2021,2020,2019
500 Hendelson Ln,Total Tax,7191.15,6073.15,6204.89
500 Hendelson Ln,YOY Change ($),1118,-132,
500 Hendelson Ln,YOY Change (%),18%,-2%,
105 Beth Ann Loop,Assessed Value - Total,229843,,
105 Beth Ann Loop,Assessed Value - Land,,,
105 Beth Ann Loop,Assessed Value - Improved,,,
105 Beth Ann Loop,YOY Change ($),,,
105 Beth Ann Loop,YOY Change (%),%,%,
105 Beth Ann Loop,Tax Year,2021,,
105 Beth Ann Loop,Total Tax,6185.61,,
105 Beth Ann Loop,YOY Change ($),,,
105 Beth Ann Loop,YOY Change (%),%,%,
3008 Bull Run,Assessed Value - Total,193455,175868,176176
3008 Bull Run,Assessed Value - Land,,48307,41500
3008 Bull Run,Assessed Value - Improved,,127561,134676
3008 Bull Run,YOY Change ($),17587,-308,
3008 Bull Run,YOY Change (%),10%,0%,
3008 Bull Run,Tax Year,2021,2020,2019
3008 Bull Run,Total Tax,5206.33,4733.02,4855.82
3008 Bull Run,YOY Change ($),473,-123,
3008 Bull Run,YOY Change (%),10%,-3%,
1016 Warbler Cv,Assessed Value - Total,247188,207473,204711
1016 Warbler Cv,Assessed Value - Land,52000,46584,44774
1016 Warbler Cv,Assessed Value - Improved,195188,160889,159937
1016 Warbler Cv,YOY Change ($),39715,2762,
1016 Warbler Cv,YOY Change (%),19%,1%,
1016 Warbler Cv,Tax Year,2021,2020,2019
1016 Warbler Cv,Total Tax,6658.40,5588.62,5638.68
1016 Warbler Cv,YOY Change ($),1070,-50,
1016 Warbler Cv,YOY Change (%),19%,-1%,
310 Lidell St,Assessed Value - Total,224465,204059,207538
310 Lidell St,Assessed Value - Land,,51337,46524
310 Lidell St,Assessed Value - Improved,,152722,161014
310 Lidell St,YOY Change ($),20406,-3479,
310 Lidell St,YOY Change (%),10%,-2%,
310 Lidell St,Tax Year,2021,2020,2019
310 Lidell St,Total Tax,6046.32,5496.65,5716.55
310 Lidell St,YOY Change ($),550,-220,
310 Lidell St,YOY Change (%),10%,-4%,
400 Booth St,Assessed Value - Total,231952,187703,12250
400 Booth St,Assessed Value - Land,18000,11603,12250
400 Booth St,Assessed Value - Improved,213952,176100,
400 Booth St,YOY Change ($),44249,175453,
400 Booth St,YOY Change (%),24%,1432%,
400 Booth St,Tax Year,2021,2020,2019
400 Booth St,Total Tax,6242.37,5051.53,337.64
400 Booth St,YOY Change ($),1191,4714,
400 Booth St,YOY Change (%),24%,1396%,
822 Indian Meadow Dr,Assessed Value - Total,238159,208244,204159
822 Indian Meadow Dr,Assessed Value - Land,52000,48577,47195
822 Indian Meadow Dr,Assessed Value - Improved,186159,159667,156964
822 Indian Meadow Dr,YOY Change ($),29915,4085,
822 Indian Meadow Dr,YOY Change (%),14%,2%,
822 Indian Meadow Dr,Tax Year,2021,2020,2019
822 Indian Meadow Dr,Total Tax,5200.96,4547.67,4527.67
822 Indian Meadow Dr,YOY Change ($),653,20,
822 Indian Meadow Dr,YOY Change (%),14%,0%,
2906 Greenlawn St,Assessed Value - Total,208618,189653,190739
2906 Greenlawn St,Assessed Value - Land,,48307,41500
2906 Greenlawn St,Assessed Value - Improved,,141346,149239
2906 Greenlawn St,YOY Change ($),18965,-1086,
2906 Greenlawn St,YOY Change (%),10%,-1%,
2906 Greenlawn St,Tax Year,2021,2020,2019
2906 Greenlawn St,Total Tax,5614.40,5104.01,5257.21
2906 Greenlawn St,YOY Change ($),510,-153,
2906 Greenlawn St,YOY Change (%),10%,-3%,
